207 377
200 204 1
134 148 1
35 49 1
141 142 1
173 187 1
17 31 1
45 59 1
85 99 1
132 146 1
25 39 1
200 206 1
168 169 1
51 65 1
76 90 1
101 102 1
53 66 1
10 24 1
35 48 1
60 74 1
62 63 1
40 41 1
126 140 1
116 129 1
124 125 1
32 46 1
15 29 1
51 52 1
56 71 1
7 8 1
89 104 1
100 114 1
137 151 1
172 187 1
93 106 1
157 158 1
42 43 1
134 147 1
150 164 1
166 180 1
152 165 1
156 170 1
149 150 1
23 37 1
16 30 1
79 80 1
113 127 1
186 187 1
11 12 1
151 152 1
77 78 1
8 22 1
72 86 1
96 109 1
107 122 1
144 158 1
21 36 1
70 84 1
184 185 1
118 119 1
128 143 1
191 199 1
130 131 1
57 58 1
197 203 1
198 202 1
176 177 1
18 19 1
67 68 1
132 133 1
139 153 1
25 38 1
86 87 1
94 108 1
91 105 1
15 16 1
163 176 1
64 78 1
144 159 1
129 130 1
78 92 1
32 33 1
90 91 1
155 169 1
113 114 1
182 183 1
53 67 1
193 194 1
161 175 1
93 94 1
21 22 1
6 20 1
46 47 1
55 204 1
133 147 1
169 182 1
181 195 1
163 178 1
96 110 1
4 5 1
59 60 1
101 115 1
179 192 1
69 200 1
96 97 1
190 199 1
58 71 1
24 25 1
107 121 1
145 146 1
135 136 1
30 44 1
118 133 1
161 162 1
123 138 1
1 2 1
26 40 1
189 190 1
145 159 1
80 81 1
154 168 1
73 74 1
87 102 1
97 111 1
75 89 1
95 108 1
117 131 1
1 15 1
103 117 1
115 116 1
33 34 1
122 136 1
68 82 1
184 198 1
89 90 1
179 193 1
155 156 1
52 66 1
135 149 1
95 109 1
26 27 1
87 88 1
12 26 1
167 181 1
105 119 1
36 49 1
188 201 1
5 6 1
50 51 1
114 115 1
43 57 1
125 203 1
65 80 1
140 154 1
47 61 1
28 29 1
177 191 1
107 108 1
160 174 1
187 188 1
34 48 1
178 192 1
124 138 1
119 120 1
17 18 1
142 143 1
83 97 1
120 121 2
166 167 2
14 28 2
54 55 2
174 188 2
125 139 2
60 61 2
114 128 2
175 189 2
92 106 2
81 95 2
157 171 2
30 31 2
74 88 2
138 151 2
171 185 2
58 72 2
149 162 2
75 88 2
48 63 2
41 54 2
8 9 2
126 127 2
2 3 2
37 38 2
56 70 2
69 83 2
28 43 2
174 175 2
84 99 2
4 18 2
112 126 2
153 166 2
9 10 2
98 112 2
110 124 2
13 27 2
0 14 2
190 205 3
182 196 3
42 56 3
183 196 7
155 168 3
84 85 5
140 141 5
0 1 6
172 173 2
64 77 3
28 44 6
84 98 7
168 170 7
196 202 10
100 112 10
0 3 12
56 73 10
204 206 1
147 148 2
172 186 2
7 22 2
38 39 3
76 91 3
123 137 4
103 104 4
194 195 5
164 165 5
19 20 5
111 197 6
11 13 6
201 205 7
168 182 3
112 127 5
140 142 6
23 50 8
45 62 11
79 82 11
56 57 4
71 84 4
28 42 5
112 113 7
0 2 8
196 198 9
52 65 2
116 130 3
173 186 3
177 178 3
66 67 3
33 46 3
35 36 3
27 41 3
55 69 3
109 110 3
145 160 4
167 180 4
127 140 6
0 29 8
184 196 11
48 49 1
151 165 3
33 47 3
94 95 3
133 134 3
90 104 3
190 191 3
100 115 3
60 73 3
154 155 3
67 81 3
93 107 3
133 146 3
